Date,Value
1938,6.3
1938,0
1938,0
1938,0
1938,0
1938,3.9
1938,19.2
1938,35.1
1939,49.3
1939,47.7
1939,6.6
1939,93.1
1939,9.3
1939,0
1939,0
1939,0
1939,0
1939,4
1939,19.4
1939,34.2
1940,42.6
1940,27.6
1940,23.6
1940,19.7
1940,6.3
1940,0
1940,0
1940,0
1940,0
1940,3.9
1940,20.1
1940,33.9
1941,3.1
1941,51.4
1941,23.9
1941,56.8
1941,0.5
1941,0
1941,0
1941,0
1941,0
1941,0.2
1941,5.2
1941,85
1942,31.8
1942,23
1942,23.9
1942,25.5
1942,2.8
1942,0
1942,0
1942,0
1942,0
1942,2
1942,10.7
1942,34.7
1943,33.8
1943,57.9
1943,75.1
1943,7.5
1943,0.4
1943,0
1943,0
1943,0
1943,0
1943,0.8
1943,12.5
1943,31
1944,30.2
1944,2.8
1944,4.7
1944,10.7
1944,6.5
1944,0
1944,0
1944,0
1944,0
1944,1
1944,17.2
1944,35.3
1945,65.3
1945,31.5
1945,7.3
1945,5.4
1945,5.1
1945,0
1945,0
1945,0
1945,0
1945,18
1945,45
1945,63.1
1946,57.9
1946,29.3
1946,89.7
1946,43.7
1946,1.8
1946,0
1946,0
1946,0
1946,0
1946,2.9
1946,37.2
1946,28.7
1947,58.9
1947,38.3
1947,23.2
1947,23.1
1947,4.2
1947,0
1947,0
1947,0
1947,0
1947,0.2
1947,33.1
1947,16.7
1948,30.1
1948,27
1948,16.9
1948,18.3
1948,4.8
1948,0
1948,0
1948,0
1948,0
1948,0.9
1948,13.5
1948,55.6
1949,61.4
1949,13.6
1949,36.5
1949,19.4
1949,2.6
1949,0
1949,0
1949,0
1949,0
1949,0.2
1949,2.3
1949,78.3
1950,42.7
1950,17.7
1950,33.7
1950,8.4
1950,2.9
1950,0
1950,0
1950,0
1950,0
1950,0.2
1950,19.7
1950,21.9
1951,53.5
1951,27.8
1951,14.4
1951,5.1
1951,6.4
1951,0
1951,0
1951,0
1951,0
1951,0.5
1951,10.9
1951,30.6
1952,42.2
1952,30.5
1952,6
1952,29.5
1952,0.9
1952,0
1952,0
1952,0
1952,0
1952,0.2
1952,16.7
1952,41.1
1953,25.4
1953,48.2
1953,34.5
1953,18.5
1953,2.6
1953,0
1953,0
1953,0
1953,0
1953,2.4
1953,38.7
1953,36.4
1954,21.5
1954,37.7
1954,50.4
1954,27.6
1954,2
1954,0
1954,0
1954,0
1954,0
1954,1
1954,74.6
1954,63.6
1955,26.3
1955,4.3
1955,30.4
1955,11.9
1955,4.9
1955,0
1955,0
1955,0
1955,0
1955,0.3
1955,14.1
1955,43.6
1956,25.5
1956,19.4
1956,14.6
1956,20.8
1956,1.5
1956,0
1956,0
1956,0
1956,0
1956,1
1956,2.9
1956,45.2
1957,27.8
1957,32.4
1957,24.5
1957,37
1957,14.5
1957,0
1957,0
1957,0
1957,0
1957,4.5
1957,44.5
1957,13.1
1958,32.3
1958,3.2
1958,12
1958,3.2
1958,4.7
1958,0
1958,0
1958,0
1958,0
1958,2.2
1958,18
1958,64
1959,39.8
1959,22.3
1959,14.3
1959,12.9
1959,8.2
1959,0
1959,0
1959,0
1959,0
1959,1.8
1959,17.4
1959,26.9
1960,28.6
1960,12.3
1960,23.5
1960,14.5
1960,1.8
1960,0
1960,0
1960,0
1960,0
1960,1.1
1960,17.5
1960,17.6
1961,74.2
1961,29.1
1961,41.2
1961,44.2
1961,1.4
1961,0
1961,0
1961,0
1961,0
1961,0.2
1961,34
1961,23.6
1962,38
1962,15.6
1962,6.1
1962,44.2
1962,0.8
1962,0
1962,0
1962,0
1962,0
1962,0.4
1962,21.9
1962,27.3
1963,14
1963,33.1
1963,5.7
1963,26.7
1963,28.1
1963,0
1963,0
1963,0
1963,0
1963,0.4
1963,12.4
1963,22.5
1964,12.1
1964,14.6
1964,7.4
1964,2.6
1964,0.5
1964,0
1964,0
1964,0
1964,0
1964,0.2
1964,7.4
1964,30.5
1965,85.6
1965,4.7
1965,17.4
1965,12.2
1965,3.3
1965,0
1965,0
1965,0
1965,0
1965,14
1965,18
1965,3.5
1966,27.7
1966,53.2
1966,19.5
1966,10.2
1966,1.3
1966,0
1966,0
1966,0
1966,0
1966,8.9
1966,0.9
1966,10.7
1967,20.2
1967,44.5
1967,5.9
1967,9.4
1967,23.2
1967,0
1967,0
1967,0
1967,0
1967,2.2
1967,71.7
1967,10.6
1968,15.7
1968,25.6
1968,15.8
1968,37.4
1968,14.2
1968,0
1968,0
1968,0
1968,0
1968,3.7
1968,28
1968,33.1
1969,78.8
1969,24.2
1969,18.5
1969,55.1
1969,16.4
1969,0
1969,0
1969,0
1969,0
1969,12.2
1969,17.6
1969,13.1
1970,75.6
1970,10.4
1970,15.5
1970,11.2
1970,7
1970,0
1970,0
1970,0
1970,0
1970,1.8
1970,6.8
1970,38.3
1971,19
1971,28.9
1971,23.3
1971,49.4
1971,5.3
1971,0
1971,0
1971,0
1971,0
1971,0.7
1971,33.2
1971,27.4
1972,74.2
1972,15.6
1972,68.2
1972,43.3
1972,6.2
1972,0
1972,0
1972,0
1972,0
1972,0.3
1972,29.5
1972,37.2
1973,13
1973,18.5
1973,6
1973,6.1
1973,0.5
1973,0
1973,0
1973,0
1973,0
1973,0.2
1973,3.6
1973,40.3
1974,92.6
1974,46.4
1974,39.3
1974,13.5
1974,1.1
1974,0
1974,0
1974,0
1974,0
1974,1.4
1974,5.3
1974,67.3
1975,50.3
1975,35.3
1975,7.4
1975,41.4
1975,12.9
1975,0
1975,0
1975,0
1975,0
1975,0.2
1975,10.4
1975,70.7
1976,59.6
1976,46.7
1976,38.5
1976,41.4
1976,11.7
1976,0
1976,0
1976,0
1976,0
1976,4.5
1976,2
1976,38.1
1977,48.5
1977,5.2
1977,22.4
1977,11.1
1977,5.1
1977,0
1977,0
1977,0
1977,0
1977,11.9
1977,15.8
1977,69.5
1978,44.3
1978,15.8
1978,36.3
1978,3.1
1978,1.5
1978,0
1978,0
1978,0
1978,0
1978,0.3
1978,15.3
1978,38.8
1979,64
1979,6.9
1979,11.7
1979,1.4
1979,10.1
1979,0
1979,0
1979,0
1979,0
1979,12.2
1979,4
1979,65.6
1980,34.5
1980,91.4
1980,24.7
1980,6.5
1980,2.5
1980,0
1980,0
1980,0
1980,0
1980,0.3
1980,15.2
1980,48.9
1981,50.1
1981,47.3
1981,21.9
1981,5
1981,2.9
1981,0
1981,0
1981,0
1981,0
1981,6.5
1981,14.1
1981,17.1
1982,62
1982,37.6
1982,30.9
1982,11.5
1982,11.1
1982,0
1982,0
1982,0
1982,0
1982,15.3
1982,36.2
1982,27.9
1983,42.8
1983,15.4
1983,23.7
1983,18.8
1983,10.9
1983,0
1983,0
1983,0
1983,0
1983,0.2
1983,10.1
1983,18.3
1984,26.9
1984,3.8
1984,42.8
1984,5.4
1984,3.2
1984,0
1984,0
1984,0
1984,0
1984,0.7
1984,60.1
1984,23.6
1985,34.4
1985,11.5
1985,11.2
1985,13.7
1985,3.8
1985,0
1985,0
1985,0
1985,0
1985,0.2
1985,27.8
1985,33.8
1986,15.4
1986,43
1986,38.6
1986,45.8
1986,8.4
1986,0
1986,0
1986,0
1986,0
1986,0.9
1986,46
1986,33.8
1987,5.7
1987,20.5
1987,53
1987,3.9
1987,1.5
1987,0
1987,0
1987,0
1987,0
1987,18
1987,4.8
1987,50.5
1988,42.8
1988,39.1
1988,27.7
1988,13.2
1988,0.5
1988,0
1988,0
1988,0
1988,0
1988,0.7
1988,3.6
1988,28.9
1989,16.5
1989,26.3
1989,22.5
1989,5.5
1989,2.4
1989,0
1989,0
1989,0
1989,0
1989,0.7
1989,30.2
1989,50
1990,28.4
1990,28.6
1990,13.8
1990,13.2
1990,0.9
1990,0
1990,0
1990,0
1990,0
1990,2.9
1990,15
1990,17.9
1991,59.2
1991,34
1991,62.2
1991,12.4
1991,0.4
1991,0
1991,0
1991,0
1991,0
1991,11
1991,5.9
1991,51.3
1992,36.9
1992,34.5
1992,40.8
1992,8.6
1992,10.6
1992,0
1992,0
1992,0
1992,0
1992,0.2
1992,22
1992,52
1993,52.8
1993,36.3
1993,26.3
1993,59.6
1993,13.1
1993,0
1993,0
1993,0
1993,0
1993,5.6
1993,14.7
1993,10.1
1994,35.8
1994,9.9
1994,33.7
1994,14.6
1994,4
1994,0
1994,0
1994,0
1994,0
1994,11.2
1994,80.3
1994,25.3
1995,13.1
1995,45
1995,12.2
1995,27.2
1995,5.3
1995,0
1995,0
1995,0
1995,0
1995,0.3
1995,1.9
1995,44.2
1996,65.7
1996,49.7
1996,44.4
1996,40.3
1996,4.5
1996,0
1996,0
1996,0
1996,0
1996,0.7
1996,4.8
1996,15.8
1997,34.6
1997,2.6
1997,82
1997,18.8
1997,3.5
1997,0
1997,0
1997,0
1997,0
1997,6.1
1997,38.2
1997,36.4
1998,61.9
1998,19.5
1998,53.3
1998,6
1998,3.2
1998,0
1998,0
1998,0
1998,0
1998,0.5
1998,7
1998,6.9
1999,57.1
1999,49.3
1999,45
1999,3.4
1999,0.6
1999,0
1999,0
1999,0
1999,0
1999,1.5
1999,9.7
1999,49.8
2000,43.6
2000,13.6
2000,7.7
2000,3
2000,0.8
2000,0
2000,0
2000,0
2000,0
2000,4.5
2000,21.6
2000,71
2001,36.7
2001,18.4
2001,15.3
2001,8.4
2001,4
2001,0
2001,0
2001,0
2001,0
2001,3.7
2001,7.1
2001,90
2002,36.9
2002,21.9
2002,17.3
2002,35.4
2002,1
2002,0
2002,0
2002,0
2002,0
2002,1.3
2002,30
2002,32.2
2003,42.8
2003,16
2003,23.7
2003,23.3
2003,0.6
2003,0
2003,0
2003,0
2003,0
2003,1.9
2003,19.6
2003,56.8
2004,94.2
2004,9.6
2004,5.6
2004,23
2004,3.9
2004,0
2004,0
2004,0
2004,0
2004,0.3
2004,21.8
2004,56.9
2005,57.2
2005,18.5
2005,32.9
2005,8.8
2005,1.6
2005,0
2005,0
2005,0
2005,0
2005,0.3
2005,23.4
2005,49.5
2006,56.4
2006,54.6
2006,7.6
2006,21.3
2006,1
2006,0
2006,0
2006,0
2006,0
2006,8.2
2006,15.1
2006,53.1
2007,39.8
2007,21.7
2007,24.7
2007,36
2007,2.7
2007,0
2007,0
2007,0
2007,0
2007,0.2
2007,2.8
2007,29.9
2008,34.2
2008,6.6
2008,1.4
2008,6.3
2008,1.4
2008,0
2008,0
2008,0
2008,0
2008,6.3
2008,34.9
2008,3.9
2009,7.9
2009,11
2009,16.5
2009,17.2
2009,1.3
2009,0
2009,0
2009,0
2009,0
2009,7.3
2009,36.3
2009,39.6
2010,12.6
2010,13.7
2010,5.5
2010,28
2010,9.2
2010,0
2010,0
2010,0
2010,0
2010,0.2
2010,4
2010,11.3
2011,39.3
2011,22.7
2011,22.3
2011,13.3
2011,5
2011,0
2011,0
2011,0
2011,0
2011,2.8
2011,17.3
2011,1.8
2012,9.3
2012,31
2012,10.2
2012,10.1
2012,1.9
2012,0
2012,0
2012,0
2012,0
2012,4.4
2012,40
2012,37.7
2013,26
2013,10.9
2013,11.2
2013,10
2013,6.4
2013,0
2013,0
2013,0
2013,0
2013,1.7
2013,45.7
2013,34.7
2014,42
2014,9.7
2014,23.9
2014,10.4
2014,0.7
2014,0
2014,0
2014,0
2014,0
2014,5.2
2014,9.6
2014,17.3
2015,4.8
2015,18.1
2015,25.3
2015,1.8
2015,0.6
2015,0
2015,0
2015,0
2015,0
2015,4
2015,19.4
2015,60.2
2016,18.2
2016,21
2016,60.5
2016,42.3
2016,2.6
2016,0
2016,0
2016,0
2016,0
2016,0.2
2016,1.4
2016,42.3
2017,42.5
2017,23.1
2017,54.6
2017,4.8
2017,1.1
2017,0
2017,0
2017,0
2017,0
2017,0.2
2017,15
2017,2.7
2018,6.4
2018,48.6
2018,1.2
2018,47.3
2018,16.1
2018,0
2018,0
2018,0
2018,0
2018,15.5
2018,63.2
2018,16.2
2019,26.1
2019,12.3
2019,24
2019,14
2019,1.8
2019,0
2019,0
2019,0
2019,0
2019,5.4
2019,13.1
2019,48.2
2020,5.6
2020,14.7
2020,25.7
2020,12.1
2020,1.8
2020,0
2020,0
2020,0
2020,0
2020,0.2
2020,69.4
2020,39.1
