Date,Value
1937,53.2
1937,46.9
1938,69.8
1938,38.3
1938,35.3
1938,23
1938,7.6
1938,0
1938,0
1938,0
1938,0.1
1938,5
1938,30.7
1938,62.7
1939,75.9
1939,68.6
1939,14.1
1939,103.5
1939,8.9
1939,0
1939,0
1939,0
1939,0.1
1939,5.4
1939,26.1
1939,48.9
1940,71.1
1940,42.1
1940,31.1
1940,22.4
1940,6.1
1940,0
1940,0
1940,0
1940,0.1
1940,5
1940,32
1940,49.9
1941,6.9
1941,73.7
1941,34
1941,72.2
1941,1.4
1941,0
1941,0
1941,0
1941,0
1941,0.5
1941,16.1
1941,109.7
1942,40.3
1942,38.3
1942,34
1942,33.8
1942,2.1
1942,0
1942,0
1942,0
1942,0
1942,3.2
1942,12.2
1942,51.5
1943,54.8
1943,85.6
1943,104.2
1943,10.2
1943,1
1943,0
1943,0
1943,0
1943,0
1943,1.3
1943,18.4
1943,47.1
1944,51.6
1944,7.4
1944,10.5
1944,13.9
1944,5.3
1944,0
1944,0
1944,0
1944,0
1944,1.5
1944,23.1
1944,47.5
1945,91.8
1945,40.6
1945,21
1945,9.2
1945,7.7
1945,0
1945,0
1945,0
1945,0
1945,19.5
1945,57.9
1945,94.3
1946,83.9
1946,42.2
1946,102.8
1946,47.4
1946,2.4
1946,0
1946,0
1946,0
1946,0
1946,3.7
1946,43.7
1946,42.1
1947,82.1
1947,47.5
1947,36.7
1947,28.3
1947,5.3
1947,0
1947,0
1947,0
1947,0
1947,0.5
1947,38.2
1947,25.8
1948,45.8
1948,35.7
1948,23.8
1948,26.5
1948,5.6
1948,0
1948,0
1948,0
1948,0
1948,1.3
1948,22
1948,86.7
1949,96.7
1949,24.2
1949,51.9
1949,26.5
1949,3.6
1949,0
1949,0
1949,0
1949,0
1949,0.5
1949,5.7
1949,100.6
1950,67
1950,26.9
1950,45.9
1950,12.9
1950,4.8
1950,0
1950,0
1950,0
1950,0
1950,0.5
1950,23.2
1950,39.5
1951,76.3
1951,42
1951,19.6
1951,6.1
1951,6.1
1951,0
1951,0
1951,0
1951,0.2
1951,0.6
1951,17.9
1951,47.4
